ID,NAME,SOURCE,LATITUDE,LONGITUDE,GAUGE_TYPE,PARAMETER,TEMPORAL_RESOLUTION_P,TEMPORAL_RESOLUTION_H,TEMPORAL_RESOLUTION_T,CALIBRATION,OPERATIONAL
2,El Zapotillo,MARN,14.1753,-89.413,HIDRO,PHQ,5 min,15 min,,yes,yes
4,Ilopango,MARN,13.6983,-89.1183,MET,PT,10 min,,10 min,no,yes
8,Chapeltique,MARN,13.6424,-88.2608,PLUVIO,P,15 min,,,no,yes
9,Osicala,MARN,13.8332,-88.15,HIDRO,PH,5 min,5 min,,no,yes
10,San Marcos Lempa,MARN,13.4235,-88.6969,HIDRO,PH,5 min,15 min,,no,yes
11,Las Flores,MARN,14.0434,-88.809,HIDRO,PH,5 min,15 min,,no,yes
12,Tamarindo,MARN,14.0469,-89.2525,HIDRO,PHQ,5 min,15 min,,yes,yes
13,CITALA,MARN,14.37,-89.213,HIDRO,PH,5 min,15 min,,yes,no
17,El Sauce,MARN,13.6496,-87.7898,HIDRO,PH,5 min,15 min,,no,yes
18,Puente Viejo,MARN,13.5179,-88.9882,HIDRO,PH,5 min,15 min,,no,yes
20,El Jobo,MARN,14.0175,-89.907,HIDRO,PH,5 min,15 min,,no,yes
21,Hachadura,MARN,13.8607,-90.0878,HIDRO,PH,5 min,15 min,,no,yes
25,Santiago Nonualco,MARN,13.4307,-88.9784,PLUVIO,P,5 min,,,no,yes
26,Zacatecoluca,MARN,13.5082,-88.8578,PLUVIO,P,5 min,,,no,yes
28,Belloso,MARN,13.6931,-89.191,HIDRO,PH,5 min,5 min,,no,yes
31,La Union,MARN,13.3333,-87.8236,MET,PT,10 min,,10 min,no,yes
32,San Miguel,MARN,13.4389,-88.1591,MET,PT,10 min,,10 min,no,yes
33,Santa Ana,MARN,13.9825,-89.5488,MET,PT,10 min,,10 min,yes,yes
35,Boqueron,MARN,13.7339,-89.2675,MET,PT,10 min,,10 min,yes,yes
36,PROCAFÉ,MARN,13.6843,-89.2866,MET,PT,10 min,,10 min,yes,yes
37,Acajutla,MARN,13.5678,-89.8333,MET,PT,10 min,,10 min,no,yes
38,Concepción de Oriente,MARN,13.797,-87.7101,HIDRO,PH,5 min,15 min,,no,yes
39,San Vicente,MARN,13.5958,-88.839,MET,PT,10 min,,10 min,no,yes
40,Las Pilas,MARN,14.371,-89.096,MET,PT,10 min,,10 min,yes,yes
42,El Pacayal,MARN,13.469,-88.3233,MET,PT,10 min,,10 min,no,yes
43,Tecoluca,MARN,13.5334,-88.7813,PLUVIO,P,5 min,,,no,yes
44,Vado Marin,MARN,13.3015,-88.2899,PLUVIO,P,5 min,,,no,yes
47,Santa Beatriz,MARN,13.5923,-89.7364,PLUVIO,P,5 min,,,no,yes
48,Volcan San Miguel,MARN,13.4425,-88.2378,PLUVIO,P,5 min,,,no,yes
49,Metapan,MARN,14.3595,-89.5449,PLUVIO,P,5 min,,,yes,yes
50,Jerusalem,MARN,13.653,-88.9001,PLUVIO,P,5 min,,,no,yes
51,Tepezontes,MARN,13.6199,-89.0103,PLUVIO,P,5 min,,,no,yes
53,Ataco,MARN,13.834,-89.903,PLUVIO,P,5 min,,,no,yes
54,Ishuatan,MARN,13.643,-89.558,MET,PT,10 min,,10 min,no,yes
58,Los Naranjos,MARN,13.8763,-89.6743,PLUVIO,P,5 min,,,no,yes
59,Montecristo,MARN,14.3625,-89.3996,HIDRO,PHQ,5 min,15 min,,yes,yes
